metric_id,metric_main_id
87,1
88,1
89,1
90,1
91,1
92,1
93,1
127,1
128,1
129,1
87,1
87,1
,2
100,3
101,3
105,3
107,3
108,3
124,3
125,3
126,3
98,5
102,5
,6
,7
114,8
115,8
116,9
117,9
113,10
109,11
110,11
111,11
112,11
,12
118,13
121,13
119,14
120,14
122,14
123,14
,15
,16
130,
131,
,17
,18
,19
,20
,21
,22
,23
81,
82,
83,
84,
85,
86,
94,
95,
96,
97,
99,
103,
104,
106,
,24
4,25
5,25
6,25
7,25
8,25
9,25
10,25
11,25
12,25
,26
,27
,28
,29
28,30
33,30
41,31
27,
,32
,33
,34
,35
79,36
,37
22,38
21,
23,
24,
25,
26,
,39
,40
4,41
5,41
6,41
7,41
8,41
9,41
10,41
11,41
12,41
,42
,43
,44
8,45
57,46
50,47
51,47
52,47
53,47
54,47
56,47
57,47
,48
32,49
60,50
61,50
62,50
63,50
64,50
65,50
66,50
67,50
68,50
69,50
70,50
71,50
72,50
73,50
74,50
75,50
76,50
77,50
,51
,52
,53
,54
,55
,56
,57
,58
,59
,60
,61
,62
,63
,64
,65
,66
,67
,68
,69
,70
,71
,72
,73
,74
,75
,76
42,77
43,78
109,79
110,79
111,79
112,79
13,80
28,81
58,82
,83
,84
,85
,86
,87
,88
,89
,90
,91
,92
,93
,94
,95
,96
,97
,98
,99
,100
,101
,102
,103
,104
,105
,106
,107
,108
,109
,110
,111
,112
,113
,114
,115
,116
,117
,118
,119
,120
,121
,122
,123
,124
,125
1,
2,
3,
13,
14,
15,
16,
17,
18,
19,
20,
27,
29,
30,
31,
34,
35,
36,
37,
38,
39,
40,
44,
45,
46,
47,
48,
49,
59,
78,
80,
